date,minTemp,maxTemp,precip
1949-04-24,278.55,297.05,0.00
1949-04-25,281.65,295.15,1.20
1949-04-26,276.15,290.35,13.10
1949-04-27,275.55,287.55,0.00
1949-04-28,280.65,292.25,0.00
1949-04-29,278.15,295.15,0.00
1949-04-30,278.55,286.55,0.40
1949-05-01,277.55,281.85,0.80
1949-05-02,277.55,289.45,0.00
1949-05-03,279.55,297.05,0.00
1949-05-04,283.75,295.15,0.00
1949-05-05,282.75,294.15,2.70
1949-05-06,280.65,294.15,0.00
1949-05-07,281.65,288.45,0.90
1949-05-08,280.45,290.35,0.00
1949-05-09,276.55,285.65,1.90
1949-05-10,275.45,281.85,2.00
1949-05-11,273.75,277.95,5.10
1949-05-12,273.75,284.75,1.20
1949-05-13,277.55,286.55,0.90
1949-05-14,275.55,287.55,19.00
1949-05-15,276.55,288.45,0.00
1949-05-16,276.55,293.25,0.00
1949-05-17,278.55,296.15,0.00
1949-05-18,280.65,295.15,0.40
1949-05-19,283.75,295.15,0.00
1949-05-20,280.65,292.25,8.60
1949-05-21,282.25,284.95,12.20
1949-05-22,281.65,285.65,6.40
1949-05-23,282.75,286.55,2.00
1949-05-24,282.75,292.25,3.60
1949-05-25,283.75,292.35,1.20
1949-05-26,281.65,294.15,9.20
1949-05-27,282.55,292.45,0.00
1949-05-28,281.25,299.05,0.00
1949-05-29,284.55,300.05,0.00
1949-05-30,287.75,294.15,0.70
1949-05-31,286.25,296.15,3.60
1949-06-01,284.65,290.35,2.90
1949-06-02,283.65,292.15,4.20
1949-06-03,282.65,293.95,0.30
1949-06-04,283.65,293.05,7.50
1949-06-05,282.65,288.55,1.60
1949-06-06,281.55,293.95,0.00
1949-06-07,279.35,300.45,0.00
1949-06-08,285.65,300.45,0.00
1949-06-09,285.65,301.65,0.00
1949-06-10,286.75,297.65,7.20
1949-06-11,285.65,292.15,12.60
1949-06-12,280.05,286.75,18.10
1949-06-13,278.35,291.25,0.00
1949-06-14,279.35,298.55,1.50
1949-06-15,284.65,293.95,6.30
1949-06-16,284.65,293.05,0.00
1949-06-17,283.65,292.15,0.10
1949-06-18,280.35,290.35,0.00
1949-06-19,280.35,291.25,0.00
1949-06-20,282.65,287.65,0.20
1949-06-21,282.65,296.65,0.20
1949-06-22,285.65,291.25,0.00
1949-06-23,279.35,294.85,0.00
1949-06-24,284.45,292.15,0.00
1949-06-25,279.35,290.35,0.00
1949-06-26,280.35,294.85,0.00
1949-06-27,284.65,297.65,0.00
1949-06-28,282.45,294.85,0.00
1949-06-29,284.65,295.75,0.30
1949-06-30,285.65,291.25,1.40
1949-07-01,284.65,287.65,2.60
1949-07-02,283.65,295.75,0.00
1949-07-03,284.65,295.75,0.00
1949-07-04,280.35,298.55,0.00
1949-07-05,283.65,301.45,5.00
1949-07-06,286.75,294.85,1.00
1949-07-07,284.45,290.35,0.00
1949-07-08,285.65,296.65,5.70
1949-07-09,286.35,289.45,4.90
1949-07-10,283.65,293.95,0.20
1949-07-11,283.65,297.65,0.00
1949-07-12,284.65,300.45,0.00
1949-07-13,285.45,305.35,0.00
1949-07-14,288.75,302.45,25.70
1949-07-15,286.75,297.65,2.00
1949-07-16,286.75,297.65,13.30
1949-07-17,286.75,297.65,4.40
1949-07-18,285.65,292.15,15.80
1949-07-19,283.45,288.55,9.20
1949-07-20,280.35,285.85,2.50
1949-07-21,280.35,292.15,0.00
1949-07-22,281.55,293.95,1.40
1949-07-23,283.65,292.15,21.60
1949-07-24,282.65,294.85,0.30
1949-07-25,282.65,297.65,0.00
1949-07-26,284.65,298.55,0.00
1949-07-27,285.65,298.55,0.00
1949-07-28,286.75,302.45,0.00
1949-07-29,288.75,299.55,19.10
1949-07-30,288.55,296.95,0.00
1949-07-31,283.65,300.45,0.00
1949-08-01,285.65,301.45,2.90
1949-08-02,286.55,303.45,0.00
1949-08-03,285.65,295.95,5.50
1949-08-04,281.55,294.85,0.00
1949-08-05,281.55,298.55,0.00
1949-08-06,284.65,302.45,2.20
1949-08-07,286.55,302.45,0.00
1949-08-08,288.55,303.45,1.00
1949-08-09,289.75,304.35,6.40
1949-08-10,286.75,292.35,4.90
1949-08-11,283.35,292.15,24.50
1949-08-12,280.05,284.95,30.30
1949-08-13,278.25,285.85,12.50
1949-08-14,279.35,283.05,24.60
1949-08-15,279.35,284.95,18.60
1949-08-16,282.65,290.35,2.50
1949-08-17,284.65,290.35,4.50
1949-08-18,280.35,286.75,1.50
1949-08-19,279.35,284.95,1.10
1949-08-20,281.55,287.65,0.60
1949-08-21,282.65,294.85,0.00
1949-08-22,280.35,297.65,0.00
1949-08-23,282.65,298.55,0.00
1949-08-24,285.65,298.65,0.00
1949-08-25,285.65,297.65,0.00
1949-08-26,283.65,297.65,0.00
1949-08-27,285.65,299.55,0.00
1949-08-28,287.75,294.85,4.60
1949-08-29,285.65,293.95,6.90
1949-08-30,286.75,289.45,25.40
1949-08-31,282.65,296.65,0.00
1949-09-01,284.65,298.05,0.00
1949-09-02,286.55,299.05,2.30
1949-09-03,284.65,298.05,0.00
1949-09-04,285.65,300.05,0.00
1949-09-05,286.15,301.05,0.00
1949-09-06,286.55,301.05,0.00
1949-09-07,284.65,300.05,2.10
1949-09-08,286.15,294.25,4.30
1949-09-09,283.75,287.95,2.50
1949-09-10,281.75,289.75,2.30
1949-09-11,280.65,295.15,0.00
1949-09-12,280.65,296.15,7.90
1949-09-13,283.75,295.15,1.40
1949-09-14,286.55,289.75,15.40
1949-09-15,283.75,289.75,5.90
1949-09-16,281.75,290.65,2.10
1949-09-17,282.75,290.65,0.00
1949-09-18,280.65,293.35,0.00
1949-09-19,283.75,287.95,3.40
1949-09-20,283.75,290.65,0.00
